date,close,currency,unit,benchmark,source
1968-04-01,38.0,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-04-02,37.6,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-04-03,37.7,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-04-04,36.7,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-04-05,37.2,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-04-08,37.0,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-04-09,37.25,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-04-10,37.6,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-04-11,38.05,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-04-16,38.1,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-04-17,38.0,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-04-18,37.6,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-04-19,37.65,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-04-22,38.3,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-04-23,38.05,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-04-24,38.35,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-04-25,38.25,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-04-26,38.5,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-04-29,38.55,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-04-30,39.1,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-01,39.1,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-02,39.25,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-03,39.6,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-06,39.7,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-07,39.3,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-08,39.5,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-09,39.7,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-10,39.8,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-13,39.4,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-14,39.6,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-15,40.1,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-16,40.85,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-17,41.6,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-20,42.0,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-21,42.6,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-22,42.2,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-23,41.5,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-24,41.75,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-27,41.5,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-28,41.6,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-29,41.5,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-30,41.75,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-05-31,42.0,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-06-04,41.2,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-06-05,41.4,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-06-06,41.25,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-06-07,41.2,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-06-10,41.35,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-06-11,41.3,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-06-12,42.1,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-06-13,41.4,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-06-14,40.2,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-06-17,40.9,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-06-18,40.7,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-06-19,41.4,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-06-20,41.05,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-06-21,41.05,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-06-24,41.05,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-06-25,40.85,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-06-26,40.95,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-06-27,40.8,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-06-28,40.95,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-01,40.9,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-02,40.85,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-03,40.9,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-04,41.05,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-05,41.1,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-08,40.95,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-09,40.6,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-10,40.15,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-11,39.4,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-12,39.1,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-15,39.15,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-16,38.9,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-17,37.8,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-18,38.0,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-19,39.1,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-22,38.65,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-23,38.65,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-24,39.2,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-25,39.1,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-26,38.75,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-29,38.9,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-30,39.1,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-07-31,38.9,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-01,38.8,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-02,38.8,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-05,38.85,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-06,38.85,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-07,38.8,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-08,38.55,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-09,38.45,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-12,38.6,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-13,38.75,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-14,38.95,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-15,39.0,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-16,39.1,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-19,39.15,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-20,39.35,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-21,40.3,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-22,39.65,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-23,39.65,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-26,39.4,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-27,39.55,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-28,39.55,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-29,39.8,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-08-30,39.85,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-09-03,39.975,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-09-04,39.9,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-09-05,39.95,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-09-06,40.0,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-09-09,40.0,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-09-10,40.0,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-09-11,40.0,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-09-12,40.05,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-09-13,40.175,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-09-16,40.2,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-09-17,40.55,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-09-18,40.45,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-09-19,40.525,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-09-20,40.5,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-09-23,40.425,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-09-24,40.475,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-09-25,40.425,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-09-26,40.45,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-09-27,40.3,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-09-30,39.7,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-01,39.6,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-02,38.3,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-03,39.0,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-04,38.9,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-07,39.8,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-08,39.75,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-09,39.2,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-10,38.825,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-11,39.2,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-14,39.3,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-15,39.2,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-16,38.95,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-17,39.2,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-18,39.4,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-21,39.1,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-22,38.95,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-23,39.175,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-24,39.2,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-25,39.3,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-28,39.375,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-29,39.6,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-30,39.3,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-10-31,39.2,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-11-01,38.9,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-11-04,39.25,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-11-05,39.325,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-11-06,39.5,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-11-07,39.525,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-11-08,39.4,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-11-11,39.5,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-11-12,39.725,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-11-13,39.75,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-11-14,39.75,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-11-15,40.0,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-11-18,40.0,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1968-11-19,40.05,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
